date,open,high,close,low,volume,amount
2012-12-31,4.99,5.16,5.09,4.97,22068276.0,120520176.0
2012-12-28,4.92,4.98,4.98,4.9,13573035.0,72090832.0
2012-12-27,5.01,5.06,4.92,4.92,14029199.0,75256160.0
2012-12-26,4.94,5.03,5.0,4.92,15618699.0,83801568.0
2012-12-25,4.82,4.97,4.94,4.81,21652636.0,114505536.0
2012-12-24,4.79,4.86,4.83,4.76,11831273.0,61239876.0
2012-12-21,4.82,4.83,4.78,4.74,9887508.0,50885180.0
2012-12-20,4.81,4.81,4.8,4.72,10832270.0,55529928.0
2012-12-19,4.82,4.86,4.81,4.79,8359135.0,43333880.0
2012-12-18,4.85,4.91,4.82,4.81,12501315.0,65152252.0
2012-12-17,4.87,4.92,4.83,4.82,14757300.0,77190800.0
2012-12-14,4.66,4.87,4.86,4.66,25192878.0,129911096.0
2012-12-13,4.74,4.74,4.65,4.64,7597946.0,38264596.0
2012-12-12,4.74,4.79,4.74,4.69,9133703.0,46350944.0
2012-12-11,4.65,4.82,4.74,4.64,21358560.0,109095360.0
2012-12-10,4.68,4.7,4.68,4.63,12986652.0,65073820.0
2012-12-07,4.56,4.65,4.64,4.54,12806930.0,63548824.0
2012-12-06,4.54,4.65,4.57,4.51,11701307.0,57876208.0
2012-12-05,4.37,4.58,4.54,4.35,13713323.0,66393744.0
2012-12-04,4.35,4.42,4.38,4.31,3966762.0,18539548.0
2012-12-03,4.42,4.46,4.35,4.34,3764405.0,17825472.0
2012-11-30,4.37,4.47,4.42,4.37,3866232.0,18405988.0
2012-11-29,4.43,4.46,4.38,4.37,4218041.0,19949446.0
2012-11-28,4.38,4.46,4.43,4.34,4809979.0,22711420.0
2012-11-27,4.42,4.45,4.39,4.38,3613097.0,17127784.0
2012-11-26,4.47,4.48,4.45,4.42,3118676.0,14897868.0
2012-11-23,4.47,4.5,4.48,4.46,3401702.0,16393734.0
2012-11-22,4.45,4.47,4.47,4.43,2996587.0,14340802.0
2012-11-21,4.4,4.47,4.47,4.38,3837415.0,18277780.0
2012-11-20,4.44,4.45,4.38,4.34,2968115.0,14072986.0
2012-11-19,4.44,4.46,4.43,4.37,3124582.0,14815550.0
2012-11-16,4.47,4.49,4.44,4.43,2826352.0,13502290.0
2012-11-15,4.5,4.55,4.47,4.46,3789470.0,18296728.0
2012-11-14,4.54,4.57,4.53,4.42,4445115.0,21562228.0
2012-11-13,4.56,4.59,4.52,4.47,4140676.0,20144824.0
2012-11-12,4.47,4.58,4.57,4.45,6270003.0,30591472.0
2012-11-09,4.47,4.48,4.47,4.46,2142002.0,10286185.0
2012-11-08,4.53,4.53,4.47,4.47,5115788.0,24732720.0
2012-11-07,4.54,4.57,4.55,4.52,2729331.0,13345508.0
2012-11-06,4.59,4.61,4.55,4.49,5682135.0,27692320.0
2012-11-05,4.61,4.64,4.6,4.57,6255747.0,30928404.0
2012-11-02,4.57,4.66,4.63,4.52,9657834.0,47714756.0
2012-11-01,4.46,4.61,4.57,4.46,8064632.0,39327664.0
2012-10-31,4.5,4.51,4.46,4.43,7068356.0,33888716.0
2012-10-30,4.56,4.61,4.55,4.49,5419553.0,26501720.0
2012-10-29,4.59,4.59,4.56,4.55,3813952.0,18713868.0
2012-10-26,4.71,4.72,4.59,4.56,6280944.0,31218116.0
2012-10-25,4.65,4.71,4.69,4.62,7317570.0,36770680.0
2012-10-24,4.61,4.67,4.65,4.6,3868904.0,19288412.0
2012-10-23,4.65,4.7,4.62,4.62,4731882.0,23701640.0
2012-10-22,4.65,4.68,4.66,4.61,5145104.0,25677218.0
2012-10-19,4.71,4.72,4.65,4.64,4239937.0,21282928.0
2012-10-18,4.64,4.72,4.7,4.61,6910004.0,34750880.0
2012-10-17,4.59,4.66,4.63,4.57,6194285.0,30809968.0
2012-10-16,4.58,4.64,4.58,4.55,4504416.0,22296828.0
2012-10-15,4.61,4.61,4.57,4.54,2624113.0,12863675.0
2012-10-12,4.61,4.65,4.6,4.55,4835811.0,23898290.0
2012-10-11,4.61,4.63,4.59,4.56,6661668.0,32922008.0
2012-10-10,4.6,4.64,4.61,4.58,5837194.0,28915958.0
2012-10-09,4.53,4.61,4.59,4.5,6340145.0,31193628.0
2012-10-08,4.54,4.56,4.47,4.45,4084031.0,19761684.0
2012-09-28,4.39,4.53,4.52,4.38,7619230.0,36534544.0
2012-09-27,4.29,4.48,4.42,4.29,6919217.0,32823932.0
2012-09-26,4.43,4.43,4.33,4.32,4537446.0,21315820.0
2012-09-25,4.43,4.45,4.42,4.37,3682542.0,17454148.0
2012-09-24,4.45,4.47,4.42,4.34,4361553.0,20648286.0
2012-09-21,4.49,4.52,4.45,4.45,4084811.0,19667808.0
2012-09-20,4.68,4.69,4.51,4.5,7771331.0,38310472.0
2012-09-19,4.7,4.7,4.68,4.67,3750135.0,18868998.0
2012-09-18,4.7,4.73,4.68,4.67,3649207.0,18420140.0
2012-09-17,4.82,4.82,4.71,4.7,6770540.0,34546496.0
2012-09-14,4.85,4.86,4.82,4.79,7781402.0,40306696.0
2012-09-13,4.86,4.87,4.81,4.8,5541925.0,28793900.0
2012-09-12,4.87,4.89,4.87,4.82,6421343.0,33504410.0
2012-09-11,4.87,4.87,4.86,4.81,7261153.0,37689568.0
2012-09-10,4.88,4.89,4.88,4.84,10069050.0,52707280.0
2012-09-07,4.73,4.91,4.88,4.73,18505472.0,96295552.0
2012-09-06,4.71,4.73,4.7,4.65,5722590.0,28760910.0
2012-09-05,4.7,4.72,4.69,4.66,4777936.0,24059200.0
2012-09-04,4.74,4.76,4.7,4.68,5259049.0,26680676.0
2012-09-03,4.73,4.79,4.75,4.72,6635283.0,33961028.0
2012-08-31,4.76,4.78,4.74,4.72,5288875.0,26983376.0
2012-08-30,4.74,4.85,4.78,4.74,9960256.0,51345780.0
2012-08-29,4.73,4.75,4.72,4.7,2915352.0,14799543.0
2012-08-28,4.7,4.74,4.73,4.68,4003259.0,20255098.0
2012-08-27,4.75,4.75,4.69,4.68,4930904.0,24903192.0
2012-08-24,4.81,4.81,4.74,4.74,4412318.0,22590536.0
2012-08-23,4.81,4.85,4.81,4.77,4211712.0,21766270.0
2012-08-22,4.82,4.9,4.8,4.78,4543039.0,23632424.0
2012-08-21,4.79,4.87,4.82,4.74,7229757.0,37422092.0
2012-08-20,4.79,4.86,4.8,4.72,6344842.0,32433680.0
2012-08-17,4.84,4.87,4.83,4.81,4051044.0,21056568.0
2012-08-16,4.86,4.88,4.87,4.84,2436488.0,12713462.0
2012-08-15,4.89,4.89,4.86,4.83,4385945.0,22901540.0
2012-08-14,4.92,4.94,4.91,4.83,5468662.0,28674176.0
2012-08-13,4.96,4.97,4.9,4.89,8349673.0,44276320.0
2012-08-10,4.99,4.99,4.97,4.94,5646123.0,30090950.0
2012-08-09,5.01,5.01,5.0,4.92,7497055.0,40046856.0
2012-08-08,5.02,5.06,5.0,4.96,7674635.0,41271660.0
2012-08-07,4.97,5.05,5.03,4.95,10131226.0,54339092.0
2012-08-06,4.86,5.01,4.98,4.84,9726111.0,51618656.0
2012-08-03,4.82,4.87,4.87,4.8,4202344.0,21840554.0
2012-08-02,4.88,4.88,4.82,4.78,4943977.0,25638880.0
2012-08-01,4.83,4.92,4.87,4.83,5593750.0,29313012.0
2012-07-31,4.84,4.87,4.82,4.82,4142108.0,21580620.0
2012-07-30,4.85,4.9,4.83,4.79,4937169.0,25660188.0
2012-07-27,4.86,4.93,4.84,4.78,6764844.0,35424056.0
2012-07-26,4.92,4.95,4.82,4.81,5424645.0,28388672.0
2012-07-25,4.99,5.03,4.9,4.89,5938473.0,31715584.0
2012-07-24,4.95,5.03,5.0,4.92,4949156.0,26474562.0
2012-07-23,5.02,5.07,4.98,4.97,4584596.0,24722658.0
2012-07-20,5.05,5.11,5.02,4.97,12282446.0,86617448.0
2012-07-19,4.99,5.11,5.06,4.93,8926761.0,63405364.0
2012-07-18,4.98,5.0,4.99,4.9,7025371.0,48842612.0
2012-07-17,4.8,4.98,4.97,4.8,8730367.0,60299704.0
2012-07-16,4.83,5.0,4.81,4.8,14746925.0,101490728.0
2012-07-13,4.9,4.9,4.82,4.81,7328422.0,49947476.0
2012-07-12,4.82,4.91,4.88,4.73,12455113.0,84234656.0
2012-07-11,4.8,4.86,4.8,4.77,7840893.0,53053572.0
2012-07-10,5.0,5.01,4.8,4.78,10959206.0,75375568.0
2012-07-09,5.14,5.17,5.0,5.0,7318356.0,52332484.0
2012-07-06,5.15,5.2,5.19,5.04,7156324.0,51735128.0
2012-07-05,5.16,5.19,5.1,5.09,4617901.0,33332044.0
2012-07-04,5.22,5.24,5.19,5.14,3406473.0,24819332.0
2012-07-03,5.17,5.25,5.19,5.14,5087246.0,37254076.0
2012-07-02,5.15,5.19,5.16,5.14,3970667.0,28833456.0
2012-06-29,5.05,5.13,5.13,5.02,6136017.0,43931224.0
2012-06-28,5.19,5.23,5.06,5.05,6507213.0,47189492.0
2012-06-27,5.23,5.26,5.17,5.16,4572652.0,33553108.0
2012-06-26,5.2,5.25,5.23,5.12,5235112.0,38251056.0
2012-06-21,5.28,5.34,5.32,5.26,7210295.0,53757908.0
2012-06-20,5.3,5.31,5.28,5.25,7117822.0,52908984.0
2012-06-19,5.35,5.39,5.27,5.25,10220493.0,76482640.0
2012-06-18,5.44,5.45,5.36,5.33,11229314.0,85115128.0
2012-06-15,5.46,5.47,5.4,5.26,14929831.0,112568080.0
2012-06-14,5.54,5.57,5.42,5.41,11306901.0,87229304.0
2012-06-13,5.47,5.58,5.56,5.47,9701093.0,75620016.0
2012-06-12,5.43,5.51,5.47,5.41,7221223.0,55501336.0
2012-06-11,5.36,5.5,5.49,5.36,9084175.0,69624448.0
2012-06-08,5.4,5.46,5.35,5.32,11133700.0,84316976.0
2012-06-07,5.3,5.44,5.3,5.29,12365266.0,93184720.0
2012-06-06,5.38,5.38,5.25,5.21,9479240.0,70461592.0
2012-06-05,5.28,5.36,5.34,5.24,9881337.0,73956136.0
2012-06-04,5.51,5.51,5.25,5.24,29727716.0,225752048.0
