date,open,high,close,low,volume,amount
2013-12-31,3.15,3.19,3.18,3.14,4963733.0,15900629.0
2013-12-30,3.18,3.2,3.14,3.13,3939365.0,12552985.0
2013-12-27,3.08,3.19,3.18,3.07,10504412.0,33409214.0
2013-12-26,3.12,3.12,3.07,3.07,5714894.0,17835326.0
2013-12-25,3.09,3.13,3.12,3.07,3978849.0,12459034.0
2013-12-24,3.09,3.13,3.09,3.05,7427328.0,23213704.0
2013-12-23,3.09,3.11,3.09,3.05,6205868.0,19347206.0
2013-12-20,3.14,3.14,3.09,3.05,8707760.0,27137672.0
2013-12-19,3.18,3.2,3.13,3.13,5804286.0,18516802.0
2013-12-18,3.16,3.18,3.16,3.14,3786229.0,12083335.0
2013-12-17,3.19,3.2,3.16,3.13,5912417.0,18887310.0
2013-12-16,3.23,3.25,3.17,3.14,8957482.0,28882696.0
2013-12-13,3.18,3.28,3.24,3.17,11455304.0,37361168.0
2013-12-12,3.15,3.2,3.2,3.14,6553846.0,20986072.0
2013-12-11,3.27,3.28,3.17,3.12,16285612.0,52385516.0
2013-12-10,3.27,3.31,3.29,3.26,11252087.0,37303864.0
2013-12-09,3.32,3.34,3.27,3.26,20409474.0,67556552.0
2013-12-06,3.33,3.36,3.33,3.29,12853140.0,43032204.0
2013-12-05,3.39,3.41,3.34,3.32,11764404.0,39877784.0
2013-12-04,3.29,3.45,3.39,3.27,23993220.0,82194192.0
2013-12-03,3.21,3.37,3.3,3.2,21395968.0,71414800.0
2013-12-02,3.17,3.23,3.21,3.12,17451370.0,56141004.0
2013-11-29,3.18,3.23,3.2,3.15,9980079.0,32075326.0
2013-11-28,3.09,3.21,3.19,3.08,18673712.0,59647988.0
2013-11-27,3.08,3.1,3.09,3.05,7476327.0,23241924.0
2013-11-26,3.07,3.1,3.08,3.06,6407455.0,19905978.0
2013-11-25,3.06,3.08,3.07,3.04,8261604.0,25579456.0
2013-11-22,3.06,3.07,3.06,3.04,5256572.0,16229561.0
2013-11-21,3.09,3.09,3.05,3.04,5394921.0,16637663.0
2013-11-20,3.07,3.1,3.09,3.06,7220949.0,22427052.0
2013-11-19,3.11,3.12,3.07,3.05,10550293.0,32727012.0
2013-11-18,3.01,3.12,3.11,3.0,14488855.0,44805672.0
2013-11-15,2.97,3.06,3.0,2.96,7610128.0,23159240.0
2013-11-14,2.95,2.97,2.97,2.93,5121756.0,15270769.0
2013-11-13,2.97,2.97,2.95,2.94,5496222.0,16375454.0
2013-11-12,2.98,2.99,2.97,2.96,3488126.0,10462050.0
2013-11-11,2.93,2.98,2.97,2.92,4545579.0,13564558.0
2013-11-08,2.96,2.98,2.93,2.92,7259247.0,21679656.0
2013-11-07,3.0,3.0,2.97,2.96,3997672.0,12011620.0
2013-11-06,3.01,3.04,3.0,2.98,5888415.0,17875516.0
2013-11-05,3.03,3.03,3.01,2.98,5527357.0,16744715.0
2013-11-04,3.0,3.04,3.03,3.0,8251261.0,25162546.0
2013-11-01,2.99,3.04,3.02,2.98,9684250.0,29516728.0
2013-10-31,2.97,2.99,2.99,2.96,7554777.0,22727444.0
2013-10-30,2.89,2.98,2.97,2.88,14278507.0,42410264.0
2013-10-29,2.9,2.94,2.87,2.85,10597955.0,30983734.0
2013-10-28,2.91,2.91,2.9,2.87,6984647.0,20442902.0
2013-10-25,2.95,2.98,2.91,2.89,10738081.0,31849402.0
2013-10-24,2.97,2.98,2.95,2.95,6128836.0,18343834.0
2013-10-23,3.03,3.05,2.97,2.96,9929258.0,30067854.0
2013-10-22,3.06,3.06,3.03,3.02,6153919.0,18877552.0
2013-10-21,3.01,3.06,3.06,3.0,10099400.0,31012392.0
2013-10-18,3.0,3.01,3.0,2.99,4074595.0,12350233.0
2013-10-17,3.0,3.02,3.0,2.99,4846022.0,14710383.0
2013-10-16,3.03,3.04,2.99,2.99,8636231.0,26297498.0
2013-10-15,3.06,3.06,3.02,3.0,9421620.0,28772890.0
2013-10-14,3.04,3.07,3.05,3.02,10320858.0,31713228.0
2013-10-11,3.01,3.04,3.04,2.99,9666433.0,29498248.0
2013-10-10,3.02,3.03,2.99,2.98,8577147.0,25977582.0
2013-10-09,2.99,3.03,3.03,2.98,7281832.0,22058714.0
2013-10-08,2.96,3.0,3.0,2.95,8449540.0,25442150.0
2013-09-30,2.99,3.0,2.98,2.96,12348888.0,37108620.0
2013-09-27,3.0,3.02,3.0,2.97,7286690.0,22018576.0
2013-09-26,3.07,3.08,3.0,3.0,8421199.0,25756248.0
2013-09-25,3.11,3.14,3.07,3.07,6643780.0,20781172.0
2013-09-24,3.18,3.2,3.11,3.11,8403934.0,26611776.0
2013-09-23,3.2,3.21,3.19,3.17,6904077.0,22203306.0
2013-09-18,3.18,3.2,3.18,3.15,6882720.0,22051822.0
2013-09-17,3.24,3.26,3.19,3.19,8532161.0,27819078.0
2013-09-16,3.26,3.27,3.24,3.22,9673310.0,31629024.0
2013-09-13,3.31,3.34,3.26,3.24,16027318.0,53021324.0
2013-09-12,3.44,3.46,3.36,3.35,32005606.0,109632616.0
2013-09-11,3.38,3.38,3.38,3.36,23386872.0,79740152.0
2013-09-10,3.16,3.22,3.22,3.14,14362203.0,46354520.0
2013-09-09,3.12,3.17,3.16,3.11,9035090.0,28738874.0
2013-09-06,3.11,3.12,3.12,3.08,5809860.0,18184702.0
2013-09-05,3.17,3.17,3.13,3.1,8342603.0,26340266.0
2013-09-04,3.1,3.24,3.18,3.08,17913100.0,57235516.0
2013-09-03,3.07,3.11,3.1,3.06,8323172.0,25891002.0
2013-09-02,3.0,3.05,3.05,3.0,8250022.0,25287302.0
2013-08-30,2.98,3.04,3.0,2.97,8494581.0,25835582.0
2013-08-29,3.0,3.02,2.99,2.96,7998469.0,24094272.0
2013-08-28,3.04,3.04,2.99,2.99,10585666.0,32190350.0
2013-08-27,3.07,3.07,3.06,3.03,6350292.0,19569156.0
2013-08-26,3.06,3.08,3.08,3.03,5652440.0,17454286.0
2013-08-23,3.11,3.12,3.05,3.01,7214780.0,22313614.0
2013-08-22,3.04,3.12,3.11,3.01,11466110.0,35409088.0
2013-08-21,3.08,3.09,3.05,3.04,5148747.0,15885305.0
2013-08-20,3.15,3.15,3.08,3.07,6769615.0,21217230.0
2013-08-19,3.06,3.15,3.15,3.05,11418757.0,35968156.0
2013-08-16,3.08,3.16,3.07,3.04,12817866.0,40003040.0
2013-08-15,3.1,3.16,3.11,3.1,7946698.0,25091198.0
2013-08-14,3.16,3.18,3.11,3.08,15806248.0,49947204.0
2013-08-13,3.06,3.16,3.16,3.05,24636336.0,77760984.0
2013-08-12,2.98,3.06,3.05,2.97,13361126.0,40994200.0
2013-08-09,2.91,2.98,2.98,2.91,11581394.0,34579184.0
2013-08-08,2.94,2.95,2.92,2.9,7017647.0,20728402.0
2013-08-07,2.97,2.99,2.94,2.94,10552982.0,31453718.0
2013-08-06,2.97,3.06,2.99,2.97,10255759.0,31098692.0
2013-08-05,2.95,3.01,2.98,2.93,15189979.0,45610360.0
2013-08-02,2.89,2.97,2.95,2.87,18961744.0,56185968.0
2013-08-01,2.8,2.91,2.88,2.79,10209496.0,29473152.0
2013-07-31,2.82,2.84,2.8,2.79,4730842.0,13418367.0
2013-07-30,2.81,2.84,2.82,2.79,8398399.0,23846308.0
2013-07-29,2.87,2.89,2.81,2.81,11240133.0,32096568.0
2013-07-26,2.83,2.95,2.91,2.81,29290692.0,85741320.0
2013-07-25,2.76,2.88,2.83,2.73,26508224.0,75717232.0
2013-07-24,2.73,2.77,2.75,2.71,14684615.0,40608648.0
2013-07-23,2.66,2.73,2.73,2.65,12032637.0,32800470.0
2013-07-22,2.64,2.66,2.65,2.62,7094059.0,18857092.0
2013-07-19,2.69,2.71,2.64,2.64,9839964.0,26538314.0
2013-07-18,2.7,2.72,2.69,2.66,12141984.0,32998964.0
2013-07-17,2.71,2.75,2.72,2.68,16303237.0,44627716.0
2013-07-16,2.71,2.73,2.71,2.67,13867804.0,37713556.0
2013-07-15,2.66,2.75,2.73,2.65,28652216.0,78475656.0
2013-07-12,2.65,2.68,2.62,2.61,15711538.0,41857456.0
