date,open,high,close,low,volume,amount
2013-12-31,27.43,28.97,28.47,27.1,2754106.0,159584432.0
2013-12-30,27.3,27.99,27.73,27.02,1275415.0,72062672.0
2013-12-27,25.83,27.59,27.16,25.75,1698833.0,93760776.0
2013-12-26,26.17,26.5,26.14,25.56,1414966.0,76074256.0
2013-12-25,25.11,26.26,26.18,25.01,1388103.0,73026624.0
2013-12-24,24.78,25.5,25.12,24.48,1103843.0,56771100.0
2013-12-23,24.58,25.05,24.82,23.95,612609.0,30834076.0
2013-12-20,24.63,24.87,24.42,24.23,829968.0,41829508.0
2013-12-19,24.92,25.1,24.63,24.48,921577.0,46776916.0
2013-12-18,25.31,25.36,24.73,24.63,663535.0,34110856.0
2013-12-17,25.65,25.74,25.31,25.12,1006923.0,52312656.0
2013-12-16,26.76,26.77,25.6,25.46,1003473.0,53682688.0
2013-12-13,25.82,26.76,26.67,25.63,873031.0,46948752.0
2013-12-12,25.31,26.19,25.94,25.07,859325.0,45603464.0
2013-12-11,25.02,26.03,25.36,24.97,515265.0,27103730.0
2013-12-10,25.12,25.46,25.32,24.58,565118.0,29157868.0
2013-12-09,24.97,25.6,25.34,24.82,740452.0,38260652.0
2013-12-06,24.92,25.21,25.05,24.64,730626.0,37525876.0
2013-12-05,25.65,25.65,25.31,23.86,2896332.0,147312896.0
2013-12-04,26.52,26.76,25.65,25.37,1681887.0,91147336.0
2013-12-03,26.19,26.92,26.77,25.31,1686172.0,90857056.0
2013-12-02,27.21,27.21,26.29,25.56,3111563.0,169146160.0
2013-11-29,27.48,28.52,28.21,27.16,1810099.0,103939848.0
2013-11-28,26.77,27.75,27.37,26.71,1086015.0,60749492.0
2013-11-27,26.81,27.75,26.95,26.7,1018861.0,56681856.0
2013-11-26,25.31,27.36,26.77,24.87,2063627.0,111791168.0
2013-11-25,25.26,25.46,25.31,24.47,1990139.0,102312672.0
2013-11-22,25.31,25.56,25.31,25.12,1541436.0,80228760.0
2013-11-21,25.34,25.75,25.31,24.75,3142167.0,162009568.0
2013-11-20,24.69,24.92,24.14,23.4,1690421.0,83162760.0
2013-11-19,24.39,24.87,24.69,24.39,796414.0,40375012.0
2013-11-18,24.1,25.26,24.62,24.1,991665.0,50258616.0
2013-11-15,23.36,24.47,24.1,23.36,1745529.0,86566816.0
2013-11-14,22.29,23.35,23.22,22.29,1804632.0,85791240.0
2013-11-13,23.84,23.84,22.63,22.13,4070839.0,192560960.0
2013-11-12,24.53,24.82,24.58,24.2,848019.0,42714152.0
2013-11-11,23.73,25.05,24.35,23.66,1072658.0,53827252.0
2013-11-08,23.41,23.98,23.73,23.41,693579.0,33829696.0
