date,open,high,close,low,volume,amount
2012-12-31,3.95,3.97,3.96,3.91,1966382.0,23450924.0
2012-12-28,3.9,3.95,3.95,3.89,1812952.0,21495654.0
2012-12-27,3.95,3.96,3.92,3.9,1975481.0,23497344.0
2012-12-26,4.0,4.0,3.96,3.94,2829565.0,33952596.0
2012-12-25,3.95,4.02,4.0,3.87,4606119.0,55124256.0
2012-12-24,3.87,4.05,3.94,3.87,3560018.0,42791752.0
2012-12-21,4.02,4.02,3.91,3.88,6531353.0,77528216.0
2012-12-20,4.16,4.17,4.06,3.99,11678886.0,145315088.0
2012-12-19,3.74,3.81,3.79,3.74,803001.0,9154478.0
2012-12-18,3.77,3.79,3.77,3.72,732250.0,8328351.0
2012-12-17,3.77,3.83,3.78,3.75,900600.0,10308528.0
2012-12-14,3.63,3.94,3.77,3.59,1665567.0,18901714.0
2012-12-13,3.69,3.69,3.58,3.55,351000.0,3841572.0
2012-12-12,3.73,3.73,3.67,3.66,209136.0,2335451.0
2012-12-11,3.79,3.79,3.7,3.69,444631.0,4992930.0
2012-12-10,3.79,3.8,3.75,3.71,535286.0,6046169.0
2012-12-07,3.64,3.78,3.77,3.64,1143476.0,12920448.0
2012-12-06,3.65,3.68,3.63,3.6,442572.0,4885496.0
2012-12-05,3.47,3.69,3.66,3.47,1185953.0,12967069.0
2012-12-04,3.48,3.53,3.47,3.44,322634.0,3390101.0
2012-12-03,3.52,3.56,3.49,3.48,270398.0,2873007.0
2012-11-30,3.45,3.55,3.55,3.4,421232.0,4412650.0
2012-11-29,3.5,3.5,3.41,3.41,209250.0,2183638.0
2012-11-28,3.4,3.5,3.47,3.4,244610.0,2561697.0
2012-11-27,3.52,3.57,3.5,3.49,530069.0,5636016.0
2012-11-26,3.6,3.6,3.58,3.57,227500.0,2469406.0
2012-11-23,3.61,3.64,3.6,3.57,279501.0,3047458.0
2012-11-22,3.62,3.67,3.63,3.58,660507.0,7280435.0
2012-11-21,3.58,3.63,3.62,3.49,259131.0,2826334.0
2012-11-20,3.63,3.64,3.63,3.58,968748.0,10608831.0
2012-11-19,3.73,3.73,3.63,3.52,961960.0,10450521.0
2012-11-16,3.72,3.72,3.68,3.67,232299.0,2595924.0
2012-11-15,3.73,3.79,3.73,3.7,288660.0,3272960.0
2012-11-14,3.78,3.83,3.78,3.75,300673.0,3430605.0
2012-11-13,3.89,3.89,3.78,3.75,399590.0,4606973.0
2012-11-12,3.87,3.93,3.89,3.87,690279.0,8120788.0
2012-11-09,3.79,3.91,3.87,3.63,1254502.0,14534172.0
2012-11-08,3.99,3.99,3.83,3.83,666400.0,7894922.0
2012-11-06,3.96,4.03,3.93,3.83,969103.0,11418608.0
2012-11-05,3.97,3.97,3.96,3.91,616139.0,7344626.0
2012-11-02,3.95,3.96,3.95,3.9,489831.0,5824142.0
2012-11-01,3.96,3.96,3.96,3.89,786183.0,9359594.0
2012-10-31,3.86,3.94,3.92,3.86,270327.0,3200765.0
2012-10-30,3.97,3.97,3.9,3.82,1226851.0,14392387.0
2012-10-29,4.01,4.02,3.96,3.92,663279.0,7932257.0
2012-10-26,3.87,3.96,3.94,3.82,839914.0,9950352.0
2012-10-25,3.92,3.98,3.89,3.87,871966.0,10339797.0
2012-10-24,4.04,4.06,3.94,3.92,1555968.0,18741026.0
2012-10-23,4.13,4.14,4.07,4.06,663338.0,8204230.0
2012-10-22,4.09,4.16,4.13,4.03,967903.0,12035253.0
2012-10-19,4.03,4.12,4.09,4.03,1030364.0,12777056.0
2012-10-18,4.05,4.09,4.06,4.04,1014783.0,12489948.0
2012-10-17,4.08,4.1,4.06,4.02,913372.0,11198290.0
2012-10-16,4.08,4.12,4.08,4.05,773353.0,9576594.0
2012-10-15,4.04,4.13,4.09,4.03,1193922.0,14745341.0
2012-10-12,4.13,4.16,4.04,4.03,1249568.0,15472589.0
2012-10-11,4.12,4.23,4.13,4.07,2732594.0,34476928.0
2012-10-10,4.01,4.12,4.12,3.99,2455341.0,30144342.0
